Facing,Square Feet,BHK Apartment,Price,Furnish Status,Deposit Status,Bathroom Count,Location,Amenities
null,1850,3 BHK Apartment,260000 ,Semi-Furnished,No Deposit,4 bathrooms,"Powai, Mumbai","ATM, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Maintenance Staff, Club House, Intercom, Swimming Pool, Staff Quarter, Rain Water Harvesting, Cafeteria, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens, Sports Facility"
null,767,2 BHK Apartment,21000 ,Unfurnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Children's play area, Full Power Backup, Lift(s), 24 X 7 Security, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1000,2 BHK Apartment,35000 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Children's play area, Rain Water Harvesting, Intercom, Maintenance Staff, Club House, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium, Landscaped Gardens"
null,1600,3 BHK Apartment,85000 ,Semi-Furnished,3 L deposit,3 bathrooms,"Nerul, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1200,2 BHK Apartment,30000 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,678,1 BHK Apartment,38000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri East, Mumbai","Swimming Pool, Gymnasium, Full Power Backup, Vaastu Compliant, Children's play area, 24 X 7 Security, Lift(s), Landscaped Gardens, Sports Facility, Jogging Track, Club House"
null,1000,2 BHK Apartment,44000 ,Furnished,No Deposit,2 bathrooms,"Airoli, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,700,1 BHK Apartment,13000 ,Unfurnished,No Deposit,2 bathrooms,"Kalyan East, Mumbai","Gymnasium, Shopping Mall, Swimming Pool, Lift(s), Full Power Backup, Children's play area, Cafeteria, Intercom, Jogging Track, Vaastu Compliant, Car Parking, Club House, 24 X 7 Security, Landscaped Gardens, Sports Facility"
null,600,1 BHK Apartment,32000 ,Unfurnished,No Deposit,2 bathrooms,"Mulund East, Mumbai","Indoor Games, Shopping Mall, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Children's play area, Gymnasium, Multipurpose Room, Rain Water Harvesting, Cafeteria, Swimming Pool, Club House, 24 X 7 Security, Car Parking, Sports Facility, Landscaped Gardens"
null,2500,3 BHK Apartment,220000 ,Semi-Furnished,No Deposit,3 bathrooms,"Powai, Mumbai","Sports Facility, Swimming Pool, Gymnasium, Children's play area, Lift(s), Full Power Backup, 24 X 7 Security, Club House, Jogging Track, Landscaped Gardens"
null,1000,2 BHK Apartment,69000 ,Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1450,3 BHK Apartment,140000 ,Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1400,2 BHK Apartment,58000 ,Unfurnished,No Deposit,2 bathrooms,"Kandivali East, Mumbai","Gymnasium, Lift(s), Golf Course, Jogging Track, Swimming Pool, Club House, Children's play area, 24 X 7 Security, Full Power Backup, Sports Facility, Landscaped Gardens"
null,930,2 BHK Apartment,29000 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1250,3 BHK Apartment,84000 ,Furnished,No Deposit,2 bathrooms,"Kandivali East, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Swimming Pool, Hospital, School, Shopping Mall, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Landscaped Gardens"
null,875,2 BHK Apartment,55000 ,Furnished,No Deposit,3 bathrooms,"Malad West, Mumbai","ATM, Lift(s), Jogging Track, Full Power Backup, 24 X 7 Security, Hospital, Rain Water Harvesting, School, Shopping Mall, Staff Quarter, Vaastu Compliant, Club House, Car Parking, Swimming Pool, Gymnasium, Landscaped Gardens, Children's play area, Sports Facility"
null,1000,2 BHK Apartment,100000 ,Unfurnished,3 L deposit,3 bathrooms,"Wadala, Mumbai","Gymnasium, Lift(s), Multipurpose Room, Jogging Track, Indoor Games, Car Parking, Club House, Children's play area, Swimming Pool, Full Power Backup, 24 X 7 Security, Sports Facility, Landscaped Gardens"
East facing,1800,4 BHK Apartment,65000 ,Furnished,No Deposit,3 bathrooms,"Seawoods, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,900,2 BHK Apartment,45000 ,Semi-Furnished,No Deposit,2 bathrooms,"Ghansoli, Mumbai","Swimming Pool, Shopping Mall, Lift(s), Full Power Backup, Indoor Games, Children's play area, Staff Quarter, Rain Water Harvesting, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House, Landscaped Gardens, Sports Facility"
null,1150,2 BHK Apartment,145000 ,Semi-Furnished,No Deposit,2 bathrooms,"Santacruz West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1050,3 BHK Apartment,135000 ,Unfurnished,No Deposit,2 bathrooms,"Juhu, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1280,2 BHK Apartment,45000 ,Semi-Furnished,No Deposit,2 bathrooms,"Koper Khairane, Mumbai","Gymnasium, Lift(s), Rain Water Harvesting, Car Parking, Club House, Children's play area, Full Power Backup, 24 X 7 Security, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1260,2 BHK Apartment,82000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Golf Course, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,1645,3 BHK Apartment,55000 ,Unfurnished,No Deposit,3 bathrooms,"Mulund East, Mumbai","Gymnasium, Lift(s), Rain Water Harvesting, Jogging Track, Swimming Pool, Car Parking, Full Power Backup, 24 X 7 Security, Children's play area, Club House, Sports Facility, Landscaped Gardens"
null,856,2 BHK Apartment,50000 ,Semi-Furnished,2 L deposit,2 bathrooms,"Thane West, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Cafeteria, Children's play area, Rain Water Harvesting, Club House, Staff Quarter, Swimming Pool, Indoor Games, School, Shopping Mall, Landscaped Gardens, Multipurpose Room, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security"
null,1850,3 BHK Apartment,93000 ,Semi-Furnished,4.5 L deposit,3 bathrooms,"Seawoods, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Staff Quarter, Rain Water Harvesting, Jogging Track, 24 X 7 Security, Car Parking, Club House, Vaastu Compliant, Children's play area, Sports Facility, Landscaped Gardens"
null,253,1 RK Studio Apartment,25000 ,Unfurnished,"25,000 deposit",1 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1200,2 BHK Apartment,75000 ,Unfurnished,No Deposit,2 bathrooms,"Goregaon West, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Cafeteria, Children's play area, Rain Water Harvesting, Club House, Staff Quarter, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Landscaped Gardens, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security"
null,1230,2 BHK Apartment,16000 ,Unfurnished,No Deposit,2 bathrooms,"Ulwe, Mumbai","Staff Quarter, Rain Water Harvesting, Car Parking, Club House, Vaastu Compliant, 24 X 7 Security, Full Power Backup, Lift(s), Swimming Pool, Sports Facility, Jogging Track, Children's play area, Landscaped Gardens, Gymnasium"
null,1000,2 BHK Apartment,35000 ,Semi-Furnished,No Deposit,2 bathrooms,"Dahisar West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,650,1 BHK Apartment,45000 ,Unfurnished,No Deposit,2 bathrooms,"Agripada, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,700,2 BHK Apartment,13000 ,Semi-Furnished,No Deposit,1 bathrooms,"Taloje, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1500,3 BHK Apartment,150000 ,Furnished,No Deposit,3 bathrooms,"Prabhadevi, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,635,1 BHK Apartment,11000 ,Unfurnished,No Deposit,2 bathrooms,"Shil Phata, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Children's play area, Full Power Backup, Landscaped Gardens, Sports Facility"
NorthEast facing,765,1 BHK Apartment,11000 ,Semi-Furnished,No Deposit,1 bathrooms,"Kharghar, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,1700,3 BHK Apartment,150000 ,Semi-Furnished,No Deposit,3 bathrooms,"Chembur, Mumbai","Landscaped Gardens, Lift(s), Sports Facility, Full Power Backup, Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Car Parking, Gymnasium, Club House, Children's play area, 24 X 7 Security, Swimming Pool"
East facing,1400,3 BHK Apartment,80000 ,Furnished,No Deposit,3 bathrooms,"Kandivali East, Mumbai","Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Children's play area, 24 X 7 Security, Jogging Track, Landscaped Gardens"
North facing,620,1 BHK Apartment,28000 ,Semi-Furnished,No Deposit,1 bathrooms,"Koper Khairane, Mumbai","Sports Facility, ATM, Jogging Track, Lift(s), Intercom, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Swimming Pool, Hospital, School, Shopping Mall, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,1290,2 BHK Apartment,72000 ,Unfurnished,No Deposit,2 bathrooms,"Malad East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Staff Quarter, Rain Water Harvesting, Jogging Track, Indoor Games, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House, Children's play area, Landscaped Gardens, Sports Facility"
null,1550,3 BHK Apartment,65000 ,Furnished,No Deposit,2 bathrooms,"Ghansoli, Mumbai","Rain Water Harvesting, Jogging Track, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s), Landscaped Gardens, Swimming Pool, Sports Facility, Children's play area, Club House, Gymnasium"
null,1225,3 BHK Apartment,60000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mulund West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1100,2 BHK Apartment,55000 ,Unfurnished,No Deposit,2 bathrooms,"Seawoods, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Car Parking, Hospital, School, Shopping Mall, 24 X 7 Security, Gymnasium, Vaastu Compliant, Sports Facility, Landscaped Gardens"
null,600,1 BHK Apartment,18500 ,Unfurnished,No Deposit,1 bathrooms,"Ghansoli, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1100,2 BHK Apartment,40000 ,Furnished,No Deposit,2 bathrooms,"Sanpada, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,1600,3 BHK Apartment,109000 ,Semi-Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,510,1 BHK Apartment,65000 ,Semi-Furnished,No Deposit,1 bathrooms,"Powai, Mumbai","Landscaped Gardens, Swimming Pool, Gymnasium, Club House, Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Sports Facility, Jogging Track"
East facing,525,1 BHK Apartment,29500 ,Semi-Furnished,No Deposit,2 bathrooms,"Kandivali East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Intercom, Maintenance Staff, Sports Facility, 24 X 7 Security, Car Parking, Club House, Children's play area, Jogging Track, Landscaped Gardens"
null,980,2 BHK Apartment,15000 ,Semi-Furnished,No Deposit,2 bathrooms,"Anjurdive, Mumbai","Club House, Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,668,2 BHK Apartment,30000 ,Unfurnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Children's play area, Gymnasium, Multipurpose Room, Rain Water Harvesting, Cafeteria, Swimming Pool, Club House, 24 X 7 Security, Car Parking, Landscaped Gardens"
null,1000,2 BHK Apartment,165000 ,Furnished,No Deposit,2 bathrooms,"Lower Parel, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Swimming Pool, Hospital, School, Shopping Mall, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Sports Facility, Landscaped Gardens"
East facing,1024,2 BHK Apartment,85000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Sports Facility, Lift(s), Indoor Games, 24 X 7 Security, Rain Water Harvesting, Cafeteria, Intercom, Maintenance Staff, Gymnasium, Children's play area, Full Power Backup, Swimming Pool, Club House, Landscaped Gardens, Jogging Track"
null,3200,4 BHK Apartment,325000 ,Semi-Furnished,10 L deposit,3 bathrooms,"Wadala, Mumbai","Swimming Pool, Lift(s), 24 X 7 Security, Multipurpose Room, Full Power Backup, Golf Course, Intercom, Jogging Track, Indoor Games, Children's play area, Car Parking, Gymnasium, Club House, Vaastu Compliant, Landscaped Gardens, Sports Facility"
null,980,2 BHK Apartment,45000 ,Unfurnished,1.5 L deposit,2 bathrooms,"Airoli, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1071,3 BHK Apartment,73000 ,Semi-Furnished,2.5 L deposit,2 bathrooms,"Kanjurmarg, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Golf Course, Full Power Backup, Cafeteria, Children's play area, Rain Water Harvesting, Club House, Staff Quarter, Swimming Pool, Indoor Games, School, Shopping Mall, Multipurpose Room, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,920,2 BHK Apartment,130000 ,Furnished,No Deposit,2 bathrooms,"Bandra West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,650,1 BHK Apartment,17000 ,Semi-Furnished,No Deposit,2 bathrooms,"Kalwa, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,900,2 BHK Apartment,52000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,650,1 BHK Apartment,38000 ,Semi-Furnished,No Deposit,2 bathrooms,"Vikhroli, Mumbai","Rain Water Harvesting, Intercom, Full Power Backup, 24 X 7 Security, Lift(s), Gymnasium, Landscaped Gardens, Sports Facility, Jogging Track, Children's play area, Club House, Swimming Pool"
null,700,2 BHK Apartment,66000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,950,2 BHK Apartment,16000 ,Unfurnished,No Deposit,2 bathrooms,"Shil Phata, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Children's play area, Full Power Backup, Landscaped Gardens, Sports Facility"
null,1000,2 BHK Apartment,80000 ,Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Swimming Pool, Lift(s), 24 X 7 Security, Multipurpose Room, Full Power Backup, Staff Quarter, Rain Water Harvesting, Intercom, Jogging Track, Children's play area, Car Parking, Gymnasium, Club House, Vaastu Compliant, Landscaped Gardens, Sports Facility"
